==============================  =======================  	==================
Overworld Map Tile Definitions  == Used as connector ==  	== Used as Road ==
==============================  =======================  	==================

00 - Mario Completed Block A    Non-Enterable, Passable		No Movement
01 - Luigi Completed Block A	Non-Enterable, Passable		No Movement
02 - Black Tile			Non-Enterable, Passable		No Movement
03 - Level 1			Enterable, Blocked		No Movement
04 - Level 2			Enterable, Blocked		No Movement
05 - Level 3			Enterable, Blocked		No Movement
06 - Level 4			Enterable, Blocked		No Movement
07 - Level 5			Enterable, Blocked		No Movement
08 - Level 6			Enterable, Blocked		No Movement
09 - Level 7			Enterable, Blocked		No Movement
0a - Level 8			Enterable, Blocked		No Movement
0b - Level 9			Enterable, Blocked		No Movement
0c - Level 10			Enterable, Blocked		No Movement
0d - Level 11?			Enterable, Blocked		No Movement
0E - Level 12?			Enterable, Blocked		No Movement
0F - Level 13?			Enterable, Blocked		No Movement
10 - Level 14?			Enterable, Blocked		No Movement
11 - Level 15?			Enterable, Blocked		No Movement
12 - Level 16?			Enterable, Blocked		No Movement
13 - Level 17?			Enterable, Blocked		No Movement
14 - Level 18?			Enterable, Blocked		No Movement
15 - Level 19?			Enterable, Blocked		No Movement
16 - Black Tile			Enterable, Blocked		No Movement
17 - Black Tile			Enterable, Blocked		No Movement
18 - Black Tile			Enterable, Blocked		No Movement
19 - Black Tile			Enterable, Blocked		No Movement
1A - Black Tile			Enterable, Blocked		No Movement
1B - Black Tile			Enterable, Blocked		No Movement
1C - Black Tile			Enterable, Blocked		No Movement
1D - Black Tile			Enterable, Blocked		No Movement
1E - Black Tile			Enterable, Blocked		No Movement
1F - Black Tile			Enterable, Blocked		No Movement
20 - Black Tile			Enterable, Blocked		No Movement
21 - Black Tile			Enterable, Blocked		No Movement
22 - Black Tile			Enterable, Blocked		No Movement
23 - Black Tile			Enterable, Blocked		No Movement
24 - Black Tile			Enterable, Blocked		No Movement
25 - Black Tile			Enterable, Blocked		No Movement
26 - Black Tile			Enterable, Blocked		No Movement
27 - Black Tile			Enterable, Blocked		No Movement
28 - Black Tile			Enterable, Blocked		No Movement
29 - Black Tile			Enterable, Blocked		No Movement
2A - Black Tile			Enterable, Blocked		No Movement
2B - Black Tile			Enterable, Blocked		No Movement
2C - Black Tile			Enterable, Blocked		No Movement
2D - Black Tile			Enterable, Blocked		No Movement
2E - Black Tile			Enterable, Blocked		No Movement
2F - Black Tile			Enterable, Blocked		No Movement
30 - Black Tile			Enterable, Blocked		No Movement
31 - Black Tile			Enterable, Blocked		No Movement
32 - Black Tile			Enterable, Blocked		No Movement
33 - Black Tile			Enterable, Blocked		No Movement
34 - Black Tile			Enterable, Blocked		No Movement
35 - Black Tile			Enterable, Blocked		No Movement
36 - Black Tile			Enterable, Blocked		No Movement
37 - Black Tile			Enterable, Blocked		No Movement
38 - Black Tile			Enterable, Blocked		No Movement
39 - Black Tile			Enterable, Blocked		No Movement
3a - Black Tile			Enterable, Blocked		No Movement
3b - Black Tile			Enterable, Blocked		No Movement
3c - Black Tile			Enterable, Blocked		No Movement
3d - Black Tile			Enterable, Blocked		No Movement
3e - Black Tile			Enterable, Blocked		No Movement
3f - Black Tile			Enterable, Blocked		No Movement
40 - Mario Completed Tile B	Non-Enterable, Passable		No Movement
41 - Luigi Completed Tile B	Non-Enterable, Passable		No Movement
42 - Land			Non-Enterable, Passable		No Movement
43 - Sandy Land			Non-Enterable, Passable		No Movement
44 - Road Connector A, E/S	Non-Enterable, Passable		No Movement
45 - Horizontal Road		Non-Enterable, Passable		Horizontal Movement
46 - Vertical Road A		Non-Enterable, Passable		Vertical Movement
47 - Road Connector A, E/S/W	Non-Enterable, Passable		No Movement
48 - Road Connector A, N/E/S	Non-Enterable, Passable		No Movement
49 - Vertical Road B		Non-Enterable, Passable		No Movement
4A - Road Connector A, N/E/S/W	Non-Enterable, Passable		No Movement
4B - Dock			Non-Enterable, Passable		No Movement
4C - Garbage Tile		Non-Enterable, Passable		No Movement
4D - Garbage Tile		Non-Enterable, Passable		No Movement
4E - Black Vertical Road 1	Non-Enterable, Passable		No Movement
4F - Black Vertical Road 2	Non-Enterable, Passable		No Movement
50 - Mushroom House A		Enterable, Passable		No Movement
51 - Boulder A			Non-Enterable, Passable		No Movement
52 - Boulder B			Non-Enterable, Passable		No Movement
53 - Boulder C			Non-Enterable, Passable		No Movement
54 - Lock A			Non-Enterable, Passable		No Movement
